OCID,CONTRACT_TITLE,CONTRACT_TYPE,PROCUREMENT_METHOD,BUYER_NAME,SUPPLIER_NAMES,CONTRACT_START_DATE,CONTRACT_END_DATE,CONTRACT_AMOUNT,CONTRACT_CURRENCY,CONTRACT_LINK
001-A-00007,ADQUISICIÓN DE VIVERES PARA LAS ELABORACION KITS ALIMENTICIOS PARA PALEAR NECESIDADES BASICA DE LA POBLACIÓN DEL CANTÓN EL PAN.,AZUAY,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON EL PAN,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL DEL CANTON EL PAN,SANCECI CIA. LTDA.,4/06/2020,4/09/2020,"$15.640,70",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=rYDRSYCjyHJ8xaIuFMgplyfeMZ-D6zxvJ3o-y1knHcM,&idSoliCompra=VkhKvlir10g0GFZOgOTr7wUGdSF92hlGT-vs421BEqo,"
001-AMN-2020-00011,"ADQUISICION DE INSUMOS DE DESINFECCION, PRENDAS DE PROTECCION PERSONAL, MASCARILLAS ARTESANALES PARA PERSONAS DE ATENCION PRIORITARIA Y QUIMICOS PARA LA DESINFECCION DEL AGUA POTABLE DEL CENTRO CANTONAL Y EN APOYO A LAS JAAP COMUNITARIAS POR LA EMERGENCIA SANITARIA DEL VIRUS COVID-19",AZUAY,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL NABON,GOBIERNO AUTONOMO DESCENTRALIZADO MUNICIPAL NABON,SARMIENTO PESANTEZ RICHARD ALFONSO,5/04/2020,5/25/2020,"$11.261,02",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=ENuR3nbwuftc589xvMSMlY_dLGs-ZYVpzJoOmZGEANw,&idSoliCompra=Y5ynzPiAWcuYBgLOlj4eSRUi0B0zYQ8329_wwMlp4Nk,"
002-20202-00022,ADQUISICIÓN DE MATERIALES DE CONSTRUCCIÓN PARA APERTURA DE PUNTOS DE ABASTECIMIENTO DE ALIMENTOS PARA EL CENTRO CANTONAL DE SANTA ISABEL BAJO NUEVAS NORMAS DE BIOSEGURIDAD Y SANIDAD ANTE PANDEMIA COVID-19,AZUAY,MUNICIPALIDAD DE SANTA ISABEL,MUNICIPALIDAD DE SANTA ISABEL,YUNGASACA ARMIJOS LUZ MARINA,5/11/2020,6/10/2020,"$32.706,78",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=EnzXisqVf2pVHF865eygh339WjW7g1mS1xd-Gx8dXtw,&idSoliCompra=dsX37v59QN-dCyuxfiXlZqMvjP1_jfo3m17rkvORlOg,"
002-20202-00008,ADQUISICIÓN DE KITS DE ALIMENTOS PARA ASISTENCIA SOCIAL DENTRO DE LA EMERGENCIA SANITARIA POR EL COVID-19 DE ACUERDO A LAS RESOLUCIONES EMITIDAS POR EL COE CANTONAL.,AZUAY,MUNICIPALIDAD DE SANTA ISABEL,MUNICIPALIDAD DE SANTA ISABEL,CENTER PLAZA SUPERMERCADOS S.A.,4/01/2020,4/13/2020,"$23.674,04",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=OpNAk8LhhuuulXikzZBWDUlC-gK6c4x9GF_nqTjtZds,&idSoliCompra=IH6yE3kKoYYbO0RC9ch36yw7_hADWeR1Ak29DjSPUgM,"
002-20202-00023,"ADQUISICIÓN DE 95 CARPAS DE 2X2 METROS PARA LA REUBICACIÓN DE COMERCIANTES EN LA PLATAFORMA DE LA JUNTA DE REGANTES DEL CANTÓN SANTA ISABEL PARA EL EXPENDIO DE FRUTAS, VERDURAS, GRANOS Y OTROS, BAJO NUEVAS NORMAS DE BIOSEGURIDAD Y SANIDAD ANTE LA PANDEMIA COVID-19",AZUAY,MUNICIPALIDAD DE SANTA ISABEL,MUNICIPALIDAD DE SANTA ISABEL,PUBLITECPRINT CIA. LTDA,5/18/2020,7/02/2020,"$15.057,50",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=UqOC-UblN78eFEZrCBeIZOuU-5QEGBgKvGM7jkWzFr0,&idSoliCompra=-CXHk7iFcS5VflHQ0T1KrMXQLlVjSwxmw_A-fqUkZzc,"
002-20202-00017,"ADQUISICIÓN DE INSUMOS QUÍMICOS Y PRENDAS DE PROTECCIÓN PARA PREVENIR EL CONTAGIO DE CORONAVIRUS EN EL CANTÓN, DENTRO DE LA EMERGENCIA SANITARIA POR EL COVID-19 DE ACUERDO A LAS RESOLUCIONES EMITIDAS POR EL COE CANTONAL DE SANTA ISABEL.",AZUAY,MUNICIPALIDAD DE SANTA ISABEL,MUNICIPALIDAD DE SANTA ISABEL,ARPI LLIVISACA NATALY XIMENA,4/01/2020,5/01/2020,"$13.577,60",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=jW4vmC25hsPOYp2E96J3wnbpkXozrEnaCefbLeRS9I0,&idSoliCompra=ogBt32SvyebmGoJsCN3WA5zibdKxXd-D8tiPOrymjl0,"
002-20202-00013,"CONTRATACIÓN DE BALDEO Y DESINFECCIÓN DE VEREDAS, CALLES, AVENIDAS, INSTITUCIONES Y LUGARES PÚBLICOS DE CONCURRENCIA MASIVA DE PERSONAS PARA PREVENIR E,L CONTAGIO DE CORONAVIRUS EN EL CANTÓN, DENTRO DE LA EMERGENCIA SANITARIA POR EL COVID-19 DE ACUERDO A LAS RESOLUCIONES DEL COE CANTONAL",AZUAY,MUNICIPALIDAD DE SANTA ISABEL,MUNICIPALIDAD DE SANTA ISABEL,SERRANO LEON ANDRES FELIPE,3/25/2020,5/06/2020,"$10.130,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=3nnaMVxmH2_IPN49vIuKevhIF2pvWyzKa1DpVOMHSGk,&idSoliCompra=7LGwcrAJgbYAgrrov3uFrdw95M_KVOT81NofZ2S8GuY,"
0072020-00008,PROVISIÓN DE PRUEBAS PCR EN TIEMPO REAL PARA LA DETECCIÓN DE COVID-19,AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,SIMED S. A.,4/09/2020,5/09/2020,"$135.000,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=jvV9-vlbbMpCULtJ_LJLFm4PY6HtPvmgmT5-iiPj-08,&idSoliCompra=lZMGfoa2b3_Wanmsti2exFHxs4QT-llHP2CiPXbhNUE,"
0072020-00006,"ADQUISICIÓN DE MASCARILLAS REUTILIZABLES DE TELA ANTIFLUIDOS, PARA EL GOBIERNO PROVINCIAL DEL AZUAY. _PROVISIÓN DE 250000 MASCARILLAS REUTILIZABLES.",AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,SANCHEZ SANCHEZ JHON PATRICIO,5/07/2020,6/01/2020,"$112.500,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=CHAgIMgG-WxiAd6fjPsEubvrSRGxF1xyyqqU0WPCzCE,&idSoliCompra=bgoBtFC4HMGtZKoKrCUGyxpcsd6SLDGkfolWzizNZp8,"
0072020-00007,ADQUISICIÓN DE MASCARILLAS REUTILIZABLES DE TELA ANTIFLUIDOS PARA EL GOBIERNO PROVINCIAL DEL AZUAY- PROVISIÓN DE 250000 MASCARILLAS REUTILIZABLES.,AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,GOBIERNO PROVINCIAL DEL AZUAY,LAZO MARTINEZ MARIA MANUELA,5/07/2020,6/01/2020,"$112.500,00",US DOLLAR,"https://www.compraspublicas.gob.ec/ProcesoContratacion/compras/EE/frmResumenResolucion.cpe?idRes=ftq-uUvHO1DN3uICm5JGUSEeRmlTIhnm6fS7KPAIv20,&idSoliCompra=8CYcnpCHmBEB4aGBCjYIXeeoUjwjul1nVb0TepT7rSo,"
